Ref.,Limits of Potential Window (V),Lower Limit of Potential Window (V),Upper Limit of Potential Window (V),Potential Window (V),Current Density (A/g),Capacitance (F/g),Specific Surface Area (m^2/g),Charge Transfer Resistance (Rct) (ohm),Equivalent Series Resistance (Rs) (ohm),Electrode Configuration,Pore Size (nm),Pore Volume (cm^3/g),Ratio of ID/IG,N at%,C at%,O at%,Electrolyte Chemical Formula,Electrolyte Ionic Conductivity,Electrolyte Concentration (M),Cell Configuration (three/two electrode system)
DOI: 10.1002/adfm.201301747,0 to 0.5,0,0.5,0.5,3,2682,,,,nickel-cobalt layered double hydroxide (Ni-Co LDH with 6:4 of Ni:Co ratio) hybrid films,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/adfm.201301747,0 to 0.5,0,0.5,0.5,4,2580,,,,nickel-cobalt layered double hydroxide (Ni-Co LDH with 6:4 of Ni:Co ratio) hybrid films,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/adfm.201301747,0 to 0.5,0,0.5,0.5,6,2435,,,,nickel-cobalt layered double hydroxide (Ni-Co LDH with 6:4 of Ni:Co ratio) hybrid films,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/adfm.201301747,0 to 0.5,0,0.5,0.5,8,2339,,,,nickel-cobalt layered double hydroxide (Ni-Co LDH with 6:4 of Ni:Co ratio) hybrid films,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/adfm.201301747,0 to 0.5,0,0.5,0.5,10,2228,,,,nickel-cobalt layered double hydroxide (Ni-Co LDH with 6:4 of Ni:Co ratio) hybrid films,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/adfm.201301747,0 to 0.5,0,0.5,0.5,15,1977,,,,nickel-cobalt layered double hydroxide (Ni-Co LDH with 6:4 of Ni:Co ratio) hybrid films,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/adfm.201301747,0 to 0.5,0,0.5,0.5,20,1706,,,,nickel-cobalt layered double hydroxide (Ni-Co LDH with 6:4 of Ni:Co ratio) hybrid films,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/adfm.201803075,0 to 0.8,0,0.8,0.8,1,215,450,,,CNF/GN-2,,,1.3,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/adfm.201803075,0 to 0.8,0,0.8,0.8,1,97,350,,,CNF/GN-1,,,1.29,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/adfm.201803075,0 to 0.8,0,0.8,0.8,1,148,450,,,CNF/GN-3,,,1.33,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/admi.201600884,0 to 0.5,0,0.5,0.5,1.25,3344.08,,,,Co3O4/RGO-2 electrode (the mass ratio of CoCl2 to GO is 10:1),,,2.1,1.88,,,KOH,6,6,three-electrode system
DOI: 10.1002/admi.201600884,0 to 0.5,0,0.5,0.5,2.5,3111.5,,,,Co3O4/RGO-2 electrode (the mass ratio of CoCl2 to GO is 10:1),,,2.1,1.88,,,KOH,6,6,three-electrode system
DOI: 10.1002/admi.201600884,0 to 0.5,0,0.5,0.5,5,2840.3,,,,Co3O4/RGO-2 electrode (the mass ratio of CoCl2 to GO is 10:1),,,2.1,1.88,,,KOH,6,6,three-electrode system
DOI: 10.1002/admi.201600884,0 to 0.5,0,0.5,0.5,10,2571.6,,,,Co3O4/RGO-2 electrode (the mass ratio of CoCl2 to GO is 10:1),,,2.1,1.88,,,KOH,6,6,three-electrode system
DOI: 10.1002/admi.201600884,0 to 0.5,0,0.5,0.5,12.5,2488,,,,Co3O4/RGO-2 electrode (the mass ratio of CoCl2 to GO is 10:1),,,2.1,1.88,,,KOH,6,6,three-electrode system
DOI: 10.1002/admi.201600884,0 to 0.5,0,0.5,0.5,18.75,2316.75,,,,Co3O4/RGO-2 electrode (the mass ratio of CoCl2 to GO is 10:1),,,2.1,1.88,,,KOH,6,6,three-electrode system
DOI: 10.1002/slct.201700984,0 to 1,0,1,1,0.05,294,2400,,,AC/rGO,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1002/slct.201700984,0 to 2.7,0,2.7,2.7,0.05,144,2400,,,AC/rGO,,,,,,,TEABF4/PC,,1,two-electrode system
DOI: 10.1002/slct.201700984,0 to 2.7,0,2.7,2.7,20,96,2400,,,AC/rGO,,,,,,,TEABF4/PC,,1,two-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 0.45,-0.1,0.45,0.55,0.25,608.2,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 0.45,-0.1,0.45,0.55,0.3,587.1,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 0.45,-0.1,0.45,0.55,0.35,268.3,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 0.45,-0.1,0.45,0.55,0.4,548.2,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 0.45,-0.1,0.45,0.55,0.45,530.7,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 0.45,-0.1,0.45,0.55,0.5,512.3,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 0.45,-0.1,0.45,0.55,1,477.6,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 1.3,-0.1,1.3,1.4,0.25,183.2,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,two-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 1.3,-0.1,1.3,1.4,2,162.3,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,two-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 1.3,-0.1,1.3,1.4,4,148.8,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,two-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 1.3,-0.1,1.3,1.4,6,132.5,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,two-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 1.3,-0.1,1.3,1.4,8,116.3,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,two-electrode system
DOI: 10.1002/slct.201802721,-0.1 to 1.3,-0.1,1.3,1.4,10,98.3,577.1,,,CoBTC mOF/GNS,,,,,,,KOH,6,1,two-electrode system
DOI: 10.1002/slct.201803149,0 to 1.2,0,1.2,1.2,10,36,,,,TiO2 NWs-RGO,,,,,,,,,,two-electrode system
DOI: 10.1002/slct.201803149,0 to 1.2,0,1.2,1.2,1,45.7,,,,TiO2 NWs-RGO,,,,,,,,,,two-electrode system
DOI: 10.1002/slct.201803149,0 to 0.4,0,0.4,0.4,1,202.5,,,,TiO2 NWs-RGO,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1002/slct.202002801,0 to 0.8,0,0.8,0.8,1,680,,,,PANI NWAs/3D graphene,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202002801,0 to 0.8,0,0.8,0.8,1,72.3,,,,1.0-3# composite,,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1002/slct.202104402,-0.2 to 0.7,-0.2,0.7,0.9,1,762,,,,PANI(HNTs)-rGO,,,,2.41,93.64,3.46,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202104402,-0.2 to 0.7,-0.2,0.7,0.9,2,660,,,,PANI(HNTs)-rGO,,,,2.41,93.64,3.46,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202104402,-0.2 to 0.7,-0.2,0.7,0.9,5,595,,,,PANI(HNTs)-rGO,,,,2.41,93.64,3.46,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202104402,-0.2 to 0.7,-0.2,0.7,0.9,10,545,,,,PANI(HNTs)-rGO,,,,2.41,93.64,3.46,H2SO4,7,1,three-electrode system
DOI: 10.1002/slct.202104402,-0.2 to 0.7,-0.2,0.7,0.9,20,493,,,,PANI(HNTs)-rGO,,,,2.41,93.64,3.46,H2SO4,7,1,three-electrode system
DOI: 10.1002/cnma.201600107,-0.8 to 0,-0.8,0,0.8,10,101.7,,1.50,2.40,3DG-N-Ox,,,,0,89.9,10.1,KOH,6,3,three-electrode system
DOI: 10.1002/cnma.201600107,-0.8 to 0,-0.8,0,0.8,0.5,124.7,,1.50,2.40,3DG-N-Ox,,,,0,89.9,10.1,KOH,6,3,three-electrode system
DOI: 10.1002/cssc.201402045,0 to 0.8,0,0.8,0.8,,,,,,VGNS/CNTs,,,,,,,Na2SO4,3,0.1,three-electrode system
DOI: 10.1002/cjoc.201500595,0 to 1,0,1,1,1,310,,,,Ruthenium oxide/reduced graphene oxide nanoribbon composite (RuO2/rGONR-1),,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/cjoc.201500595,0 to 1,0,1,1,1,480,,,,Ruthenium oxide/reduced graphene oxide nanoribbon composite (RuO2/rGONR-2),,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/cjoc.201500595,0 to 1,0,1,1,1,677,,,,Ruthenium oxide/reduced graphene oxide nanoribbon composite (RuO2/rGONR-3),,,1.13,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/cjoc.201500595,0 to 1,0,1,1,1,518,,,,Ruthenium oxide/reduced graphene oxide nanoribbon composite (RuO2/rGONR-4),,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1002/cjoc.201500595,0 to 1.1,0,1.1,1.1,1,119.1,,,,Ruthenium oxide/reduced graphene oxide nanoribbon composite (RuO2/rGONR),,,1.13,,,,H2SO4,7,1,two-electrode system
DOI: 10.1002/cjoc.201500595,0 to 1.1,0,1.1,1.1,20,96.4,,,,Ruthenium oxide/reduced graphene oxide nanoribbon composite (RuO2/rGONR),,,1.13,,,,H2SO4,7,1,two-electrode system
DOI: 10.1002/cjoc.201500700,-1 to 0,-1,0,1,2.5,264,,,,Fe2O3/CCG (RFe/GO=1:3),,,,,,,KOH,6,2,three-electrode system
DOI: 10.1002/cjoc.201500700,-1 to 0,-1,0,1,37.5,196,,,,Fe2O3/CCG (RFe/GO=1:3),,,,,,,KOH,6,2,three-electrode system
DOI: 10.1002/cjoc.201500700,-1 to 0,-1,0,1,0.6,114,,,,Fe2O3/CCG (RFe/GO=1:10),,,,,,,KOH,6,2,three-electrode system
DOI: 10.1002/elan.202060262,0 to 0.7,0,0.7,0.7,1,975,,,,Co3O4@GO,,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1002/elan.202060262,0 to 0.7,0,0.7,0.7,1,1358,,,,mnO2@GO,,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1002/elan.202060262,0 to 0.7,0,0.7,0.7,1,1718,,,,Co3O4/mnO2@GO,,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1002/ente.201500059,0 to 0.8,0,0.8,0.8,0.1,67.1,,,,reduced graphene oxide/vanadium pentoxide (GV-1),,,1.28,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1002/ente.201500059,0 to 0.8,0,0.8,0.8,0.1,109.2,,,,reduced graphene oxide/vanadium pentoxide (GV-2),,,1.26,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1002/ente.201500059,0 to 0.8,0,0.8,0.8,0.1,226.6,,,,reduced graphene oxide/vanadium pentoxide (GV-3),,,1.24,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1002/ente.201500059,0 to 1.6,0,1.6,1.6,0.1,35,,,,G-V2O5,,,,,,,Na2SO4,3,1,two-electrode system
DOI: 10.1002/er.7173,-1 to 0,-1,0,1,1,260,,,,C-SrGO,,,0.94,0.61,84.24,12.83,KOH,6,6,three-electrode system
DOI: 10.1002/er.7173,-1 to 0,-1,0,1,2,241.8,,,,C-SrGO,,,0.94,0.61,84.24,12.83,KOH,6,6,three-electrode system
DOI: 10.1002/er.7173,-1 to 0,-1,0,1,3,235.5,,,,C-SrGO,,,0.94,0.61,84.24,12.83,KOH,6,6,three-electrode system
DOI: 10.1002/er.7173,-1 to 0,-1,0,1,5,227,,,,C-SrGO,,,0.94,0.61,84.24,12.83,KOH,6,6,three-electrode system
DOI: 10.1002/er.7173,-1 to 0,-1,0,1,7,221.41,,,,C-SrGO,,,0.94,0.61,84.24,12.83,KOH,6,6,three-electrode system
DOI: 10.1002/er.7173,-1 to 0,-1,0,1,10,216.3,,,,C-SrGO,,,0.94,0.61,84.24,12.83,KOH,6,6,three-electrode system
DOI: 10.1002/er.7173,-1 to 0,-1,0,1,1,189.4,,,,C-HrGO,,,0.99,2.29,83.77,13.03,KOH,6,6,three-electrode system
DOI: 10.1002/er.7173,0 to 1,0,1,1,1,267.39,,,,C-SrGO,,,0.94,0.61,84.24,12.83,,,,two-electrode system
DOI: 10.1002/er.7173,0 to 1,0,1,1,20,135.37,,,,C-SrGO,,,0.94,0.61,84.24,12.83,,,,two-electrode system
DOI: 10.1002/pat.5670,0 to 0.8,0,0.8,0.8,1,322.5,82.8,0.75,1.16,PANI/N-rGO,11.73,0.21,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1002/pat.5670,0 to 0.8,0,0.8,0.8,1,252.5,59.21,1.60,1.21,PANI/rGO,12.86,0.19,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1002/aenm.201300431,0 to 0.8,0,0.8,0.8,1.5,146,,,,VGNS grown at 80% H2 ,,,1.1,,,,Na2SO4,3,0.1,three-electrode system
DOI: 10.1002/aenm.201300431,0 to 0.8,0,0.8,0.8,1.5,122,,,,VGNS grown at 40% H2 ,,,2.2,,,,Na2SO4,3,0.1,three-electrode system
DOI: 10.1002/aenm.201501745,0 to 0.5,0,0.5,0.5,2,2077.5,85.85,,,LDHGOS,,0.461,,0,1.4,26.7,KOH,6,2,three-electrode system
DOI: 10.1002/aenm.201501745,0 to 0.5,0,0.5,0.5,1,2246.63,85.85,,,LDHGOS,,0.461,,0,1.4,26.7,KOH,6,2,three-electrode system
DOI: 10.1002/aenm.201501745,0 to 0.5,0,0.5,0.5,10,1670.83,85.85,,,LDHGOS,,0.461,,0,1.4,26.7,KOH,6,2,three-electrode system
DOI: 10.1002/aenm.201501745,0 to 0.5,0,0.5,0.5,20,1333.33,85.85,,,LDHGOS,,0.461,,0,1.4,26.7,KOH,6,2,three-electrode system
DOI: 10.1002/aenm.201600341,0 to 0.4,0,0.4,0.4,1,1141,,,,CoNi2S4-G-moSe2,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1002/aenm.201600341,0 to 0.4,0,0.4,0.4,2,1046,,,,CoNi2S4-G-moSe2,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1002/aenm.201600341,0 to 0.4,0,0.4,0.4,5,961,,,,CoNi2S4-G-moSe2,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1002/aenm.201600341,0 to 0.4,0,0.4,0.4,10,771,,,,CoNi2S4-G-moSe2,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1002/aenm.201600341,0 to 0.4,0,0.4,0.4,20,580,,,,CoNi2S4-G-moSe2,,,,,,,KOH,6,6,three-electrode system
